Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
B1,26/07/2019,19:30,Genk,Kortrijk,2,1,H,1.4,5.22,7.44,1.45,4.94,6.79,2.01,1.88,-1.5,-1.25,1.52,2.64,2.5
B1,27/07/2019,17:00,Cercle Brugge,Standard,0,2,A,3.91,3.63,1.99,3.79,3.74,1.99,1.91,1.99,0.5,0.5,1.66,2.3,2.5
B1,27/07/2019,19:00,St Truiden,Mouscron,0,1,A,1.99,3.52,4.04,2.16,3.55,3.46,1.87,2.03,-0.5,-0.25,1.74,2.16,2.5
B1,27/07/2019,19:00,Waregem,Mechelen,0,2,A,2.23,3.76,3.12,2.8,3.59,2.51,1.75,2.17,-0.25,0.25,1.6,2.42,2.5
B1,27/07/2019,19:30,Waasland-Beveren,Club Brugge,1,3,A,5.52,4.59,1.56,8.99,6.52,1.29,2.19,1.74,1,1.5,1.42,2.97,2.5
B1,28/07/2019,13:30,Anderlecht,Oostende,1,2,A,1.36,5.09,8.96,1.41,4.88,7.96,1.95,1.95,-1.25,-1.25,1.57,2.49,2.5
B1,28/07/2019,17:00,Charleroi,Gent,1,1,D,3.03,3.55,2.36,2.92,3.66,2.38,1.83,2.07,0.25,0.25,1.71,2.21,2.5
B1,28/07/2019,19:00,Eupen,Antwerp,1,4,A,3.74,3.69,2.02,3.48,3.41,2.2,2,1.9,0.25,0.25,1.93,1.95,2.5
B1,02/08/2019,19:30,Club Brugge,St Truiden,6,0,H,1.25,6.39,11.45,1.21,7.03,14.05,1.89,2.01,-1.75,-2,1.33,3.44,2.5
B1,03/08/2019,17:00,Standard,Waregem,4,0,H,1.49,4.89,6.07,1.4,5.63,6.8,1.98,1.92,-1,-1.5,1.37,3.19,2.5
B1,03/08/2019,19:00,Kortrijk,Charleroi,1,1,D,2.33,3.61,3.04,2.39,3.45,3.06,2.06,1.83,-0.25,-0.25,2.06,1.83,2.5
B1,03/08/2019,19:00,Oostende,Cercle Brugge,3,1,H,2.3,3.75,3,2.25,3.78,3.07,1.97,1.93,-0.25,-0.25,1.66,2.3,2.5
B1,03/08/2019,19:30,Mechelen,Genk,3,1,H,4.25,3.82,1.86,3.9,3.61,2,1.9,2,0.5,0.5,1.77,2.12,2.5
B1,04/08/2019,13:30,Gent,Eupen,6,1,H,1.39,5.2,7.84,1.3,5.84,9.96,1.83,2.08,-1.5,-1.5,1.49,2.71,2.5
B1,04/08/2019,17:00,Mouscron,Anderlecht,0,0,D,3.53,3.44,2.17,3.12,3.65,2.27,1.92,1.98,0.25,0.25,1.74,2.17,2.5
B1,04/08/2019,19:00,Antwerp,Waasland-Beveren,4,1,H,1.35,5.5,8.35,1.29,6.04,9.77,1.85,2.05,-1.5,-1.5,1.53,2.59,2.5
B1,09/08/2019,19:30,Anderlecht,Mechelen,0,0,D,1.82,3.88,4.36,1.99,3.84,3.71,1.99,1.91,-0.75,-0.5,1.67,2.29,2.5
B1,10/08/2019,17:00,Oostende,Club Brugge,0,2,A,6.47,5.01,1.46,7.08,5.81,1.37,1.95,1.95,1.25,1.5,1.44,2.89,2.5
B1,10/08/2019,19:00,Cercle Brugge,Kortrijk,1,3,A,2.59,3.74,2.62,2.82,3.72,2.43,1.79,2.12,0,0.25,1.65,2.32,2.5
B1,10/08/2019,19:00,Eupen,Waasland-Beveren,1,1,D,1.9,3.77,4.11,1.92,3.97,3.85,1.92,1.98,-0.5,-0.5,1.49,2.71,2.5
B1,10/08/2019,19:30,Genk,Waregem,0,2,A,1.25,6.69,11.03,1.19,7.33,15,1.84,2.06,-2,-2,1.32,3.53,2.5
B1,11/08/2019,13:30,St Truiden,Standard,2,1,H,4.41,4.12,1.76,3.73,3.96,1.95,1.95,1.95,0.75,0.5,1.47,2.81,2.5
