Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
D1,18/09/2020,19:30,Bayern Munich,Schalke 04,8,0,H,1.1,12.11,27.06,1.12,11.35,18.87,1.87,2.02,-2.75,-2.5,1.23,4.37,2.5
D1,19/09/2020,14:30,Ein Frankfurt,Bielefeld,1,1,D,1.67,4.21,5.08,1.75,4.2,4.67,1.96,1.96,-1,-0.75,1.64,2.39,2.5
D1,19/09/2020,14:30,FC Koln,Hoffenheim,2,3,A,2.62,3.67,2.63,2.65,3.5,2.78,1.92,2.01,0,0,1.65,2.35,2.5
D1,19/09/2020,14:30,Stuttgart,Freiburg,2,3,A,2.33,3.51,3.14,2.18,3.88,3.26,1.91,2.02,-0.25,-0.25,1.62,2.43,2.5
D1,19/09/2020,14:30,Union Berlin,Augsburg,1,3,A,2.37,3.25,3.29,2.35,3.33,3.38,2,1.92,-0.25,-0.25,2.22,1.73,2.5
D1,19/09/2020,14:30,Werder Bremen,Hertha,1,4,A,2.64,3.5,2.72,2.65,3.39,2.86,1.88,2.04,0,0,1.85,2.07,2.5
D1,19/09/2020,17:30,Dortmund,M'gladbach,3,0,H,1.64,4.42,5.03,1.65,4.15,5.69,2.12,1.83,-0.75,-1,1.68,2.29,2.5
D1,20/09/2020,14:30,RB Leipzig,Mainz,3,1,H,1.37,5.49,7.98,1.41,5.48,7.53,2.09,1.85,-1.5,-1.5,1.42,3.05,2.5
D1,20/09/2020,17:00,Wolfsburg,Leverkusen,0,0,D,2.96,3.42,2.48,3.12,3.66,2.34,1.9,2.02,0.25,0.25,1.63,2.4,2.5
D1,25/09/2020,19:30,Hertha,Ein Frankfurt,1,3,A,2.33,3.83,3.01,2.37,3.84,2.95,2.07,1.87,-0.25,-0.25,1.54,2.63,2.5
D1,26/09/2020,14:30,Augsburg,Dortmund,2,0,H,7.52,4.95,1.45,6.54,4.52,1.53,1.79,2.15,1.25,1.25,1.71,2.25,2.5
D1,26/09/2020,14:30,Bielefeld,FC Koln,1,0,H,2.79,3.62,2.59,2.48,3.54,2.98,1.79,2.15,0,0,1.74,2.21,2.5
D1,26/09/2020,14:30,Leverkusen,RB Leipzig,1,1,D,3.18,3.79,2.25,3.22,3.8,2.23,1.98,1.94,0.25,0.25,1.53,2.67,2.5
D1,26/09/2020,14:30,Mainz,Stuttgart,1,4,A,2.51,3.63,2.87,2.54,3.71,2.78,1.88,2.05,-0.25,0,1.52,2.67,2.5
D1,26/09/2020,14:30,M'gladbach,Union Berlin,1,1,D,1.44,4.8,7.96,1.48,4.88,6.83,2.05,1.88,-1.25,-1.25,1.66,2.35,2.5
D1,26/09/2020,17:30,Schalke 04,Werder Bremen,1,3,A,2.62,3.49,2.82,2.7,3.3,2.87,1.9,2.02,0,0,1.93,1.98,2.5
D1,27/09/2020,14:30,Hoffenheim,Bayern Munich,4,1,H,10.77,6.89,1.24,11.45,7.91,1.22,2,1.91,2,2,1.21,4.73,2.5
D1,27/09/2020,17:00,Freiburg,Wolfsburg,1,1,D,3.09,3.55,2.34,2.95,3.44,2.55,2.12,1.83,0.25,0,1.75,2.19,2.5
D1,02/10/2020,19:30,Union Berlin,Mainz,4,0,H,2.18,3.73,3.4,2.13,3.65,3.57,1.85,2.09,-0.25,-0.25,1.78,2.14,2.5
D1,03/10/2020,14:30,Dortmund,Freiburg,4,0,H,1.31,5.71,9.75,1.37,5.51,8.3,1.87,2.05,-1.5,-1.25,1.48,2.78,2.5
D1,03/10/2020,14:30,Ein Frankfurt,Hoffenheim,2,1,H,2.42,3.61,2.91,2.8,3.91,2.44,1.8,2.13,-0.25,0.25,1.35,3.38,2.5
D1,03/10/2020,14:30,FC Koln,M'gladbach,1,3,A,3.96,3.91,1.91,4.11,4.17,1.85,2.09,1.85,0.5,0.5,1.68,2.31,2.5
D1,03/10/2020,14:30,Stuttgart,Leverkusen,1,1,D,3.74,3.95,1.96,3.25,3.66,2.27,1.96,1.96,0.5,0.25,1.62,2.43,2.5
D1,03/10/2020,14:30,Werder Bremen,Bielefeld,1,0,H,2.15,3.67,3.37,2.22,3.5,3.5,1.91,2.02,-0.25,-0.25,1.85,2.07,2.5
D1,03/10/2020,17:30,RB Leipzig,Schalke 04,4,0,H,1.26,6.13,11.29,1.29,6.24,10.59,2.04,1.87,-1.75,-1.75,1.42,2.98,2.5
D1,04/10/2020,14:30,Wolfsburg,Augsburg,0,0,D,2.05,3.64,3.7,1.96,3.79,4.01,1.96,1.96,-0.5,-0.5,1.81,2.1,2.5
D1,04/10/2020,17:00,Bayern Munich,Hertha,4,3,H,1.16,8.29,17.01,1.18,8.41,15.55,1.98,1.92,-2.25,-2.25,1.21,4.73,2.5
