Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
E1,06/08/2021,19:45,Bournemouth,West Brom,2,2,D,2.37,3.36,3.24,2.49,3.36,3.04,2.13,1.8,-0.25,-0.25,2.04,1.86,2.5
E1,07/08/2021,15:00,Blackburn,Swansea,2,1,H,2.18,3.38,3.65,2.13,3.38,3.79,1.83,2.09,-0.25,-0.25,2.21,1.72,2.5
E1,07/08/2021,15:00,Bristol City,Blackpool,1,1,D,2.27,3.39,3.35,2.26,3.2,3.67,1.92,1.99,-0.25,-0.25,2.29,1.68,2.5
E1,07/08/2021,15:00,Cardiff,Barnsley,1,1,D,2.3,3.26,3.48,2.52,3.16,3.18,2.14,1.8,-0.25,-0.25,2.41,1.62,2.5
E1,07/08/2021,15:00,Derby,Huddersfield,1,1,D,4.71,3.81,1.76,2.21,3.28,3.63,1.88,2.01,0.75,-0.25,2.43,1.6,2.5
E1,07/08/2021,15:00,Luton,Peterboro,3,0,H,2.26,3.6,3.25,2.28,3.36,3.43,1.95,1.95,-0.25,-0.25,2,1.88,2.5
E1,07/08/2021,15:00,Preston,Hull,1,4,A,2.41,3.32,3.21,2.26,3.27,3.58,1.93,1.98,-0.25,-0.25,2.25,1.7,2.5
E1,07/08/2021,15:00,QPR,Millwall,1,1,D,2.12,3.43,3.76,2.08,3.44,3.88,2.08,1.83,-0.25,-0.5,2.14,1.77,2.5
E1,07/08/2021,15:00,Stoke,Reading,3,2,H,2.1,3.36,3.94,1.97,3.36,4.44,1.97,1.93,-0.25,-0.5,2.58,1.55,2.5
E1,07/08/2021,20:00,Sheffield United,Birmingham,0,1,A,1.83,3.5,4.91,1.68,3.67,6.04,1.91,1.99,-0.5,-0.75,2.39,1.63,2.5
E1,08/08/2021,13:30,Fulham,Middlesbrough,1,1,D,1.92,3.59,4.27,1.98,3.15,4.84,1.98,1.93,-0.5,-0.5,2.44,1.6,2.5
E1,08/08/2021,16:30,Coventry,Nott'm Forest,2,1,H,2.54,3.13,3.12,2.24,3.2,3.71,1.9,2.01,0,-0.25,2.39,1.63,2.5
E1,14/08/2021,12:30,Peterboro,Derby,2,1,H,2.23,3.35,3.48,2.47,3.2,3.22,2.1,1.83,-0.25,-0.25,2.32,1.66,2.5
E1,14/08/2021,15:00,Barnsley,Coventry,1,0,H,2.08,3.29,4.03,2.12,3.28,3.99,2.12,1.81,-0.5,-0.5,2.39,1.63,2.5
E1,14/08/2021,15:00,Birmingham,Stoke,0,0,D,2.85,3.08,2.8,3.28,3.09,2.51,1.81,2.11,0,0.25,2.52,1.57,2.5
E1,14/08/2021,15:00,Blackpool,Cardiff,0,2,A,3.15,3.23,2.47,2.78,3.18,2.83,1.93,1.97,0.25,0,2.34,1.65,2.5
E1,14/08/2021,15:00,Huddersfield,Fulham,1,5,A,4.6,3.46,1.89,4.63,3.4,1.93,1.98,1.93,0.5,0.5,2.34,1.65,2.5
E1,14/08/2021,15:00,Hull,QPR,0,3,A,2.79,3.26,2.72,2.43,3.35,3.14,2.08,1.84,0,-0.25,2.05,1.85,2.5
E1,14/08/2021,15:00,Middlesbrough,Bristol City,2,1,H,1.81,3.48,5.12,2.14,3.1,4.21,2.13,1.79,-0.75,-0.5,2.53,1.56,2.5
E1,14/08/2021,15:00,Millwall,Blackburn,1,1,D,2.5,3.2,3.12,2.42,3.1,3.42,2.04,1.87,-0.25,-0.25,2.33,1.66,2.5
E1,14/08/2021,15:00,Nott'm Forest,Bournemouth,1,2,A,3.53,3.33,2.22,2.59,3.3,2.95,1.83,2.09,0.25,0,2.19,1.74,2.5
E1,14/08/2021,15:00,Reading,Preston,2,1,H,2.2,3.38,3.53,2.49,3.07,3.33,2.1,1.83,-0.25,-0.25,2.45,1.6,2.5
E1,14/08/2021,15:00,West Brom,Luton,3,2,H,1.66,3.89,5.66,1.69,3.9,5.49,1.89,2.02,-0.75,-0.75,1.96,1.93,2.5
E1,14/08/2021,20:00,Swansea,Sheffield United,0,0,D,3.11,3.2,2.51,3.71,3.35,2.17,2.06,1.85,0.25,0.25,2.26,1.69,2.5
E1,17/08/2021,19:45,Barnsley,Luton,0,1,A,2.35,3.27,3.37,2.32,3.16,3.56,1.97,1.93,-0.25,-0.25,2.32,1.66,2.5
E1,17/08/2021,19:45,Blackpool,Coventry,0,1,A,3.04,3.24,2.57,2.83,3.13,2.83,1.95,1.95,0.25,0,2.47,1.59,2.5
E1,17/08/2021,19:45,Huddersfield,Preston,1,0,H,2.5,3.21,3.17,2.79,3.07,2.92,1.91,2,-0.25,0,2.37,1.63,2.5
E1,17/08/2021,19:45,Millwall,Fulham,1,2,A,3.97,3.1,2.2,3.78,3.12,2.26,2,1.91,0.25,0.25,2.43,1.61,2.5
