Div,DateTime,HomeTeam,AwayTeam
E2,12.04.2022 18:45,Burton Albion,Wigan Athletic
E2,12.04.2022 18:45,Portsmouth,Rotherham United
E2,15.04.2022 14:00,Crewe Alexandra,AFC Wimbledon
E2,15.04.2022 14:00,Wycombe Wanderers,Plymouth Argyle
E2,15.04.2022 14:00,Sunderland,Shrewsbury Town
E2,15.04.2022 14:00,Portsmouth,Lincoln City
E2,15.04.2022 14:00,Fleetwood Town,Oxford United
E2,15.04.2022 14:00,Doncaster Rovers,Bolton Wanderers
E2,15.04.2022 14:00,Cheltenham Town,Gillingham
E2,15.04.2022 14:00,Charlton Athletic,Morecambe
E2,15.04.2022 14:00,Accrington Stanley,Burton Albion
E2,16.04.2022 11:30,Rotherham United,Ipswich Town
E2,16.04.2022 16:15,Wigan Athletic,Cambridge United
E2,16.04.2022 18:45,Milton Keynes Dons,Sheffield Wednesday
E2,18.04.2022 14:00,Gillingham,Fleetwood Town
E2,18.04.2022 14:00,Lincoln City,Cheltenham Town
E2,18.04.2022 14:00,Shrewsbury Town,Doncaster Rovers
E2,18.04.2022 14:00,Morecambe,Portsmouth
E2,18.04.2022 14:00,Plymouth Argyle,Sunderland
E2,18.04.2022 14:00,Bolton Wanderers,Accrington Stanley
E2,18.04.2022 14:00,AFC Wimbledon,Wycombe Wanderers
E2,19.04.2022 18:45,Burton Albion,Rotherham United
E2,19.04.2022 18:45,Cambridge United,Charlton Athletic
E2,19.04.2022 18:45,Ipswich Town,Wigan Athletic
E2,19.04.2022 18:45,Oxford United,Milton Keynes Dons
E2,19.04.2022 18:45,Sheffield Wednesday,Crewe Alexandra
E2,23.04.2022 14:00,Fleetwood Town,AFC Wimbledon
E2,23.04.2022 14:00,Sunderland,Cambridge United
E2,23.04.2022 14:00,Doncaster Rovers,Burton Albion
E2,23.04.2022 14:00,Milton Keynes Dons,Morecambe
E2,23.04.2022 14:00,Portsmouth,Gillingham
E2,23.04.2022 14:00,Rotherham United,Oxford United
E2,23.04.2022 14:00,Crewe Alexandra,Ipswich Town
E2,23.04.2022 14:00,Cheltenham Town,Bolton Wanderers
E2,23.04.2022 14:00,Charlton Athletic,Shrewsbury Town
E2,23.04.2022 14:00,Accrington Stanley,Lincoln City
E2,23.04.2022 14:00,Wigan Athletic,Plymouth Argyle
E2,23.04.2022 14:00,Wycombe Wanderers,Sheffield Wednesday
E2,26.04.2022 18:45,Fleetwood Town,Sheffield Wednesday
E2,26.04.2022 18:45,Sunderland,Rotherham United
E2,26.04.2022 18:45,Portsmouth,Wigan Athletic
E2,30.04.2022 11:30,AFC Wimbledon,Accrington Stanley
E2,30.04.2022 11:30,Bolton Wanderers,Fleetwood Town
E2,30.04.2022 11:30,Burton Albion,Wycombe Wanderers
E2,30.04.2022 11:30,Cambridge United,Cheltenham Town
E2,30.04.2022 11:30,Gillingham,Rotherham United
E2,30.04.2022 11:30,Ipswich Town,Charlton Athletic
E2,30.04.2022 11:30,Lincoln City,Crewe Alexandra
E2,30.04.2022 11:30,Morecambe,Sunderland
E2,30.04.2022 11:30,Oxford United,Doncaster Rovers
E2,30.04.2022 11:30,Plymouth Argyle,Milton Keynes Dons
E2,30.04.2022 11:30,Sheffield Wednesday,Portsmouth
E2,30.04.2022 11:30,Shrewsbury Town,Wigan Athletic
