Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
EC,03/08/2019,12:30,Stockport,Maidenhead,0,1,A,2,3.42,4.03,1.92,3.67,4.08,1.92,1.97,-0.5,-0.5,2.05,1.81,2.5
EC,03/08/2019,15:00,Aldershot,Fylde,1,2,A,3.84,3.38,2.06,4.26,3.79,1.85,2.04,1.85,0.5,0.5,2.02,1.84,2.5
EC,03/08/2019,15:00,Barnet,Yeovil,1,0,H,2.4,3.06,3.37,2.32,3.16,3.41,1.98,1.9,-0.25,-0.25,2.29,1.65,2.5
EC,03/08/2019,15:00,Chesterfield,Dover Athletic,1,2,A,2.1,3.42,3.68,1.95,3.67,3.93,1.95,1.93,-0.5,-0.5,2.03,1.83,2.5
EC,03/08/2019,15:00,Chorley,Bromley,0,0,D,2.49,3.63,2.76,2.45,3.75,2.74,1.83,2.05,0,0,1.86,2,2.5
EC,03/08/2019,15:00,Dag and Red,Woking,0,2,A,1.98,3.43,4.13,2.15,3.31,3.66,1.84,2.04,-0.5,-0.25,2.2,1.7,2.5
EC,03/08/2019,15:00,Eastleigh,Notts County,1,0,H,2.66,3.09,2.94,2.5,3.25,3.01,2.14,1.76,0,-0.25,2.15,1.74,2.5
EC,03/08/2019,15:00,Ebbsfleet,Halifax,1,4,A,2.03,3.19,4.3,1.81,3.69,4.58,1.81,2.07,-0.25,-0.5,2.14,1.74,2.5
EC,03/08/2019,15:00,Harrogate,Solihull,2,2,D,2.48,3.31,2.99,2.69,3.31,2.73,1.93,1.95,-0.25,0,2.02,1.84,2.5
EC,03/08/2019,15:00,Hartlepool,Sutton,1,3,A,2.09,3.38,3.76,2.08,3.45,3.71,1.79,2.1,-0.25,-0.25,2.08,1.79,2.5
EC,03/08/2019,15:00,Torquay,Boreham Wood,2,1,H,1.88,3.57,4.39,1.81,3.78,4.48,1.81,2.08,-0.5,-0.5,1.99,1.87,2.5
EC,03/08/2019,15:00,Wrexham,Barrow,2,1,H,1.86,3.51,4.6,2.08,3.16,4.11,2.08,1.81,-0.5,-0.5,2.4,1.6,2.5
EC,06/08/2019,19:45,Barrow,Harrogate,0,3,A,2.62,3.37,2.77,2.61,3.47,2.72,1.9,1.98,0,0,1.83,2.03,2.5
EC,06/08/2019,19:45,Boreham Wood,Wrexham,2,2,D,3.56,3.24,2.22,3.65,3.17,2.22,1.99,1.89,0.25,0.25,2.19,1.71,2.5
EC,06/08/2019,19:45,Bromley,Ebbsfleet,3,1,H,2.08,3.38,3.78,2.05,3.47,3.8,2.05,1.83,-0.5,-0.5,1.94,1.93,2.5
EC,06/08/2019,19:45,Dover Athletic,Dag and Red,1,2,A,2.07,3.51,3.68,1.9,3.72,4.09,1.9,1.98,-0.25,-0.5,1.98,1.88,2.5
EC,06/08/2019,19:45,Fylde,Chorley,0,0,D,1.51,4.42,6.38,1.61,4.05,5.63,2.11,1.78,-1,-1,1.8,2.07,2.5
