Div,DateTime,HomeTeam,AwayTeam
EC,15.04.2022 14:00,Wrexham,Solihull Moors
EC,15.04.2022 14:00,Yeovil Town,Aldershot Town
EC,15.04.2022 14:00,Woking,Torquay United
EC,15.04.2022 14:00,Southend United,Wealdstone
EC,15.04.2022 14:00,Notts County,King's Lynn Town
EC,15.04.2022 14:00,Maidenhead United,Weymouth
EC,15.04.2022 14:00,Grimsby Town,Stockport County
EC,15.04.2022 14:00,Eastleigh,Bromley
EC,15.04.2022 14:00,Dagenham & Redbridge,Barnet
EC,15.04.2022 14:00,Boreham Wood,Dover Athletic
EC,15.04.2022 14:00,Altrincham,Halifax Town
EC,18.04.2022 12:00,Weymouth,Yeovil Town
EC,18.04.2022 14:00,King's Lynn Town,Grimsby Town
EC,18.04.2022 14:00,Stockport County,Solihull Moors
EC,18.04.2022 14:00,Torquay United,Eastleigh
EC,18.04.2022 14:00,Wealdstone,Boreham Wood
EC,18.04.2022 14:00,Wrexham,Altrincham
EC,18.04.2022 14:00,Aldershot Town,Dagenham & Redbridge
EC,18.04.2022 14:00,Barnet,Southend United
EC,18.04.2022 14:00,Bromley,Maidenhead United
EC,18.04.2022 14:00,Dover Athletic,Woking
EC,18.04.2022 16:20,Halifax Town,Chesterfield
EC,23.04.2022 14:00,Yeovil Town,Stockport County
EC,23.04.2022 14:00,Southend United,Halifax Town
EC,23.04.2022 14:00,Solihull Moors,Aldershot Town
EC,23.04.2022 14:00,Notts County,Weymouth
EC,23.04.2022 14:00,Grimsby Town,Torquay United
EC,23.04.2022 14:00,Altrincham,Wealdstone
EC,23.04.2022 14:00,Boreham Wood,Bromley
EC,23.04.2022 14:00,Chesterfield,Dover Athletic
EC,23.04.2022 14:00,Dagenham & Redbridge,King's Lynn Town
EC,23.04.2022 14:00,Eastleigh,Barnet
EC,23.04.2022 16:20,Woking,Wrexham
EC,26.04.2022 00:00,Weymouth,Wrexham
EC,26.04.2022 18:45,Dover Athletic,Notts County
EC,26.04.2022 18:45,Southend United,Boreham Wood
EC,26.04.2022 18:45,Bromley,Aldershot Town
EC,30.04.2022 14:00,Wrexham,Southend United
EC,30.04.2022 14:00,Weymouth,Solihull Moors
EC,30.04.2022 14:00,Bromley,Chesterfield
EC,30.04.2022 14:00,Wealdstone,Dagenham & Redbridge
EC,30.04.2022 14:00,Torquay United,Maidenhead United
EC,30.04.2022 14:00,King's Lynn Town,Eastleigh
EC,30.04.2022 14:00,Halifax Town,Yeovil Town
EC,30.04.2022 14:00,Dover Athletic,Altrincham
EC,30.04.2022 14:00,Barnet,Grimsby Town
EC,30.04.2022 14:00,Aldershot Town,Notts County
EC,30.04.2022 16:20,Stockport County,Boreham Wood
EC,02.05.2022 14:00,Notts County,Dover Athletic
EC,02.05.2022 14:00,Yeovil Town,Wealdstone
EC,02.05.2022 14:00,Woking,King's Lynn Town
EC,02.05.2022 14:00,Southend United,Weymouth
EC,02.05.2022 14:00,Solihull Moors,Bromley
EC,02.05.2022 14:00,Maidenhead United,Aldershot Town
EC,02.05.2022 14:00,Eastleigh,Halifax Town
EC,02.05.2022 14:00,Dagenham & Redbridge,Torquay United
EC,02.05.2022 14:00,Chesterfield,Stockport County
EC,02.05.2022 14:00,Boreham Wood,Wrexham
EC,02.05.2022 14:00,Altrincham,Barnet
EC,07.05.2022 11:30,Torquay United,Chesterfield
EC,07.05.2022 14:00,Yeovil Town,Boreham Wood
EC,07.05.2022 14:00,Bromley,Dover Athletic
EC,07.05.2022 14:00,Halifax Town,Aldershot Town
EC,07.05.2022 14:00,Grimsby Town,Maidenhead United
EC,07.05.2022 14:00,Notts County,Altrincham
EC,07.05.2022 14:00,Solihull Moors,Dagenham & Redbridge
EC,07.05.2022 14:00,Wealdstone,King's Lynn Town
EC,07.05.2022 14:00,Weymouth,Barnet
EC,07.05.2022 14:00,Woking,Eastleigh
EC,08.05.2022 11:30,Wrexham,Stockport County
EC,10.05.2022 18:45,Grimsby Town,Boreham Wood
EC,10.05.2022 18:45,Bromley,Altrincham
EC,10.05.2022 18:45,Stockport County,Torquay United
EC,15.05.2022 14:00,Aldershot Town,Wealdstone
EC,15.05.2022 14:00,Altrincham,Yeovil Town
EC,15.05.2022 14:00,Barnet,Bromley
EC,15.05.2022 14:00,Boreham Wood,Solihull Moors
EC,15.05.2022 14:00,Chesterfield,Woking
EC,15.05.2022 14:00,Dagenham & Redbridge,Wrexham
EC,15.05.2022 14:00,Dover Athletic,Weymouth
EC,15.05.2022 14:00,Eastleigh,Grimsby Town
EC,15.05.2022 14:00,Maidenhead United,Notts County
EC,15.05.2022 14:00,Southend United,Torquay United
EC,15.05.2022 14:00,Stockport County,Halifax Town
