Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
F2,26/07/2019,19:00,Ajaccio,Le Havre,2,2,D,3.05,2.94,2.73,3.05,2.91,2.75,2.05,1.85,0,0,2.87,1.45,2.5
F2,26/07/2019,19:00,Chambly,Valenciennes,1,0,H,2.52,3.12,3.15,2.48,3.05,3.3,2.09,1.81,-0.25,-0.25,2.43,1.6,2.5
F2,26/07/2019,19:00,Clermont,Chateauroux,3,0,H,1.81,3.61,4.82,1.66,3.83,5.7,1.88,2.01,-0.75,-0.75,2.3,1.66,2.5
F2,26/07/2019,19:00,Guingamp,Grenoble,3,3,D,1.74,3.58,5.44,1.93,3.28,4.8,1.93,1.98,-0.75,-0.5,2.48,1.57,2.5
F2,26/07/2019,19:00,Nancy,Orleans,0,0,D,2.27,3.15,3.63,2.31,3.15,3.53,1.96,1.93,-0.25,-0.25,2.35,1.64,2.5
F2,26/07/2019,19:00,Niort,Troyes,0,2,A,3.3,3.17,2.4,3.34,3.17,2.38,1.87,2.03,0.25,0.25,2.46,1.58,2.5
F2,26/07/2019,19:00,Rodez,Auxerre,2,0,H,2.97,2.95,2.79,3.04,2.92,2.75,2.05,1.85,0,0,2.66,1.51,2.5
F2,26/07/2019,19:00,Sochaux,Caen,0,0,D,3,2.93,2.77,2.93,2.87,2.9,1.96,1.94,0,0,2.83,1.45,2.5
F2,27/07/2019,14:00,Le Mans,Lens,1,2,A,3.23,3.04,2.52,3.61,3.4,2.16,2.04,1.85,0,0.25,2.25,1.69,2.5
F2,29/07/2019,19:45,Lorient,Paris FC,3,0,H,2.13,3.06,4.2,1.95,3.26,4.67,1.95,1.95,-0.5,-0.5,2.83,1.46,2.5
F2,02/08/2019,19:00,Auxerre,Le Mans,2,0,H,1.81,3.53,4.96,1.69,3.76,5.53,1.94,1.96,-0.75,-0.75,2.2,1.72,2.5
F2,02/08/2019,19:00,Chateauroux,Rodez,0,0,D,3.02,2.94,2.75,3.38,3,2.46,1.83,2.07,0,0.25,2.64,1.52,2.5
F2,02/08/2019,19:00,Grenoble,Ajaccio,0,1,A,2.2,3.2,3.72,2.26,3.16,3.62,1.93,1.97,-0.25,-0.25,2.53,1.56,2.5
F2,02/08/2019,19:00,Le Havre,Niort,1,1,D,1.75,3.39,5.89,1.75,3.42,5.76,2,1.89,-0.75,-0.75,2.25,1.69,2.5
F2,02/08/2019,19:00,Orleans,Chambly,0,1,A,2.2,3.08,3.91,2.41,3.07,3.41,2.04,1.86,-0.25,-0.25,2.45,1.59,2.5
F2,02/08/2019,19:00,Paris FC,Sochaux,1,1,D,2.21,2.87,4.28,2.26,2.79,4.28,1.88,2.02,-0.25,-0.25,3.56,1.32,2.5
F2,02/08/2019,19:00,Troyes,Clermont,1,2,A,2.55,3.12,3.1,2.93,3.02,2.76,2.01,1.88,0,0,2.58,1.54,2.5
F2,02/08/2019,19:00,Valenciennes,Nancy,1,1,D,2.78,3.13,2.81,3.16,3.12,2.52,2.19,1.74,0,0,2.39,1.62,2.5
F2,03/08/2019,15:30,Lens,Guingamp,2,0,H,2.26,3.04,3.79,2.31,3.11,3.58,1.96,1.94,-0.25,-0.25,2.53,1.56,2.5
F2,05/08/2019,19:45,Caen,Lorient,1,2,A,2.46,2.9,3.52,3.67,2.9,2.4,1.89,2.01,-0.25,0.25,3.19,1.38,2.5
F2,09/08/2019,19:00,Ajaccio,Caen,1,2,A,2.67,3.03,3.03,2.26,2.92,4.01,1.89,2.01,0,-0.25,3.27,1.36,2.5
F2,09/08/2019,19:00,Chambly,Grenoble,0,0,D,2.68,2.86,3.2,2.19,3.06,3.97,1.85,2.05,0,-0.25,2.6,1.53,2.5
F2,09/08/2019,19:00,Guingamp,Orleans,1,0,H,1.85,3.25,5.31,1.76,3.49,5.47,2.04,1.85,-0.5,-0.75,2.32,1.65,2.5
F2,09/08/2019,19:00,Le Mans,Valenciennes,1,2,A,2.41,3.08,3.39,2.19,3.3,3.62,1.88,2.02,-0.25,-0.25,2.01,1.88,2.5
F2,09/08/2019,19:00,Nancy,Lorient,1,1,D,3.18,3.08,2.53,3.31,3.14,2.41,1.85,2.05,0.25,0.25,2.37,1.63,2.5
F2,09/08/2019,19:00,Niort,Chateauroux,3,0,H,2.23,2.99,3.98,2.51,2.94,3.37,2.1,1.8,-0.25,-0.25,2.67,1.51,2.5
F2,09/08/2019,19:00,Rodez,Paris FC,2,1,H,2.75,2.77,3.23,2.59,2.74,3.52,2.14,1.78,0,-0.25,3.36,1.35,2.5
F2,09/08/2019,19:00,Sochaux,Auxerre,1,0,H,3.23,3.1,2.48,4.22,3.15,2.08,2.16,1.76,0.25,0.25,2.78,1.47,2.5
F2,09/08/2019,19:00,Troyes,Le Havre,1,2,A,2.34,2.99,3.65,2.13,3.18,3.96,1.81,2.09,-0.25,-0.25,2.62,1.52,2.5
F2,10/08/2019,14:00,Clermont,Lens,1,1,D,2.5,2.99,3.33,2.48,3.04,3.31,2.09,1.81,-0.25,-0.25,2.38,1.62,2.5
