Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
G1,24/08/2019,17:00,Lamia,Panathinaikos,1,1,D,4.21,3.19,2.05,4.4,3.06,2.06,1.83,2.06,0.5,0.5,2.99,1.41,2.5
G1,24/08/2019,19:00,Aris,OFI Crete,1,1,D,1.47,3.93,8.99,1.38,4.68,8.89,2.01,1.87,-1,-1.25,2.25,1.68,2.5
G1,24/08/2019,19:30,Olympiakos,Asteras Tripolis,1,0,H,1.23,6.17,13.45,1.21,6.25,15.38,2.1,1.79,-1.75,-1.75,1.8,2.06,2.5
G1,25/08/2019,17:00,Atromitos,Larisa,1,1,D,1.66,3.51,6.38,1.71,3.37,6.17,1.98,1.91,-0.75,-0.75,2.54,1.54,2.5
G1,25/08/2019,17:15,Panionios,Volos NFC,1,2,A,2.41,3.14,3.26,1.97,3.31,4.35,1.68,2.27,-0.25,-0.25,2.8,1.46,2.5
G1,25/08/2019,18:00,PAOK,Panetolikos,2,1,H,1.18,6.81,19.06,1.16,7.01,21.2,2.03,1.85,-1.75,-2,1.69,2.23,2.5
G1,25/08/2019,19:30,AEK,Xanthi,1,2,A,1.34,4.53,12.58,1.28,5.31,12.48,2.01,1.87,-1.25,-1.5,2,1.86,2.5
G1,31/08/2019,17:00,Panetolikos,Xanthi,1,2,A,2.18,3,4.02,2.31,2.9,3.82,1.94,1.94,-0.25,-0.25,2.78,1.46,2.5
G1,31/08/2019,17:15,Panathinaikos,OFI Crete,1,3,A,1.54,4.05,6.59,1.49,4.25,7.05,1.88,2,-1,-1,2,1.85,2.5
G1,31/08/2019,19:30,Volos NFC,Aris,1,0,H,3.65,3.13,2.24,3.85,3.15,2.16,2.05,1.83,0.25,0.25,2.45,1.57,2.5
G1,01/09/2019,17:00,PAOK,Panionios,2,1,H,1.15,7.59,21.11,1.13,8.19,25.44,1.85,2.03,-2,-2,1.66,2.27,2.5
G1,01/09/2019,17:15,Larisa,Olympiakos,0,1,A,10,4.45,1.38,10.05,4.66,1.36,1.97,1.91,1.25,1.25,2,1.86,2.5
G1,01/09/2019,18:00,Lamia,Atromitos,2,2,D,3.85,2.94,2.27,3.17,3.05,2.52,2.19,1.73,0.25,0,2.79,1.46,2.5
G1,01/09/2019,19:30,Asteras Tripolis,AEK,2,3,A,3.18,2.98,2.56,3.35,3.13,2.37,1.87,2.01,0.25,0.25,2.53,1.54,2.5
G1,14/09/2019,17:00,Atromitos,PAOK,2,3,A,5.92,3.68,1.66,6.04,3.69,1.65,2.03,1.85,0.75,0.75,2.26,1.67,2.5
G1,14/09/2019,17:15,OFI Crete,Panetolikos,3,1,H,2.05,3.28,4.05,1.68,3.74,5.57,1.92,1.97,-0.5,-0.75,2.22,1.69,2.5
G1,14/09/2019,19:30,Olympiakos,Volos NFC,5,0,H,1.11,9.53,23.91,1.11,9.66,23.91,2.01,1.87,-2.25,-2.25,1.52,2.59,2.5
G1,15/09/2019,17:00,Xanthi,Asteras Tripolis,2,1,H,2.45,3.01,3.34,2.43,3.02,3.35,2.05,1.83,-0.25,-0.25,2.64,1.51,2.5
G1,15/09/2019,17:15,AEK,Lamia,2,0,H,1.22,6.2,15,1.2,6.63,15.1,2.11,1.78,-1.75,-1.75,1.81,2.05,2.5
G1,15/09/2019,17:15,Panionios,Larisa,1,0,H,2.39,3.07,3.38,2.42,2.99,3.44,2.03,1.85,-0.25,-0.25,2.7,1.49,2.5
G1,15/09/2019,19:30,Aris,Panathinaikos,4,0,H,1.96,3.29,4.45,1.85,3.27,5.15,1.85,2.03,-0.5,-0.5,2.64,1.5,2.5
G1,21/09/2019,15:15,Volos NFC,OFI Crete,1,0,H,2.37,3.39,3.09,2.95,3.11,2.63,2.06,1.83,-0.25,0,2.29,1.65,2.5
G1,21/09/2019,17:30,Asteras Tripolis,Atromitos,2,1,H,2.19,3.11,3.82,2.2,3,3.95,1.85,2.03,-0.25,-0.25,2.47,1.56,2.5
G1,21/09/2019,18:00,Panetolikos,AEK,0,1,A,6.33,3.62,1.64,6.25,3.74,1.62,2.07,1.82,0.75,0.75,2.41,1.6,2.5
G1,22/09/2019,13:00,Larisa,Xanthi,3,0,H,2.37,2.99,3.53,2.03,3.09,4.49,2.03,1.85,-0.25,-0.5,2.93,1.42,2.5
G1,22/09/2019,16:30,PAOK,Aris,2,2,D,1.43,4.17,9.44,1.61,3.77,6.32,2.18,1.74,-1,-1,2.32,1.64,2.5
G1,22/09/2019,17:30,Lamia,Panionios,1,1,D,2.12,3.06,4.14,2.25,2.9,3.98,1.88,1.99,-0.5,-0.25,2.79,1.46,2.5
G1,22/09/2019,18:30,Panathinaikos,Olympiakos,1,1,D,8.26,4.15,1.46,7.08,3.75,1.57,1.85,2.03,1,1,2.22,1.69,2.5
G1,28/09/2019,15:15,Aris,Larisa,2,3,A,,,,1.57,3.7,7.11,1.78,2.11,-0.75,-0.75,2.45,1.58,2.5
G1,28/09/2019,17:00,Atromitos,Panetolikos,2,0,H,1.79,3.69,4.68,1.63,3.96,5.59,1.83,2.05,-0.75,-0.75,2.19,1.71,2.5
G1,28/09/2019,17:30,Olympiakos,Lamia,2,0,H,1.15,7.87,18.07,1.11,9.3,18.85,1.93,1.92,-2,-2.25,1.51,2.57,2.5
G1,29/09/2019,13:00,OFI Crete,Asteras Tripolis,3,1,H,2.14,3.21,3.81,1.84,3.61,4.54,1.84,2.04,-0.25,-0.5,2.09,1.78,2.5
G1,29/09/2019,15:00,Xanthi,Volos NFC,3,1,H,1.89,3.33,4.75,2.16,3.01,4.08,1.82,2.07,-0.5,-0.25,2.48,1.56,2.5
G1,29/09/2019,15:15,Panionios,Panathinaikos,0,1,A,3.31,3.26,2.32,3.51,3.03,2.35,1.89,1.99,0.25,0.25,2.71,1.48,2.5
G1,29/09/2019,17:30,AEK,PAOK,2,2,D,2.46,3.21,3.1,2.22,3.22,3.57,1.9,1.98,-0.25,-0.25,2.37,1.61,2.5
G1,05/10/2019,15:15,Panathinaikos,Xanthi,0,1,A,1.7,3.3,6.56,1.58,3.66,7.22,1.79,2.1,-0.75,-0.75,2.56,1.53,2.5
G1,05/10/2019,17:30,Larisa,AEK,0,0,D,4.29,3.39,1.96,4.57,3.35,1.92,1.97,1.92,0.5,0.5,2.41,1.59,2.5
G1,06/10/2019,13:00,Volos NFC,Atromitos,2,3,A,3.39,2.92,2.48,2.75,3.01,2.91,1.88,1.99,0.25,0,2.3,1.65,2.5
G1,06/10/2019,15:15,Asteras Tripolis,PAOK,1,2,A,5.8,3.9,1.62,6.23,4.24,1.54,1.93,1.95,0.75,1,1.93,1.93,2.5
G1,06/10/2019,15:15,OFI Crete,Panionios,4,1,H,1.56,3.8,7.15,1.43,4.35,8.52,1.76,2.13,-1,-1,2.12,1.76,2.5
G1,06/10/2019,17:30,Aris,Olympiakos,1,2,A,6.03,4.54,1.52,5.16,3.52,1.77,1.85,2.03,1,0.75,2.15,1.74,2.5
G1,07/10/2019,18:00,Lamia,Panetolikos,0,0,D,2.18,3.18,3.74,2.37,3.03,3.48,2,1.88,-0.25,-0.25,2.92,1.42,2.5
G1,19/10/2019,17:30,Olympiakos,OFI Crete,2,1,H,1.16,6.82,17.55,1.2,6.2,14.75,1.85,2,-2,-1.75,1.41,2.87,2.5
G1,19/10/2019,18:00,Panetolikos,Larisa,2,2,D,2.15,3.08,3.99,2.62,2.88,3.22,2.18,1.73,-0.25,-0.25,2.74,1.47,2.5
G1,20/10/2019,15:00,Xanthi,Aris,0,1,A,3.52,2.79,2.51,3.79,3.13,2.19,2.02,1.85,0.25,0.25,2.49,1.56,2.5
G1,20/10/2019,15:15,Panionios,Asteras Tripolis,0,1,A,2.72,3.18,2.8,2.78,3.08,2.81,1.93,1.95,0,0,2.69,1.49,2.5
G1,20/10/2019,16:00,PAOK,Lamia,3,0,H,1.15,7.2,19.36,1.11,8.53,22.13,1.88,1.96,-2,-2,1.6,2.34,2.5
G1,20/10/2019,17:30,AEK,Volos NFC,3,2,H,1.21,6.14,17.59,1.26,5.39,14.06,1.92,1.97,-1.75,-1.5,1.71,2.19,2.5
G1,20/10/2019,17:30,Atromitos,Panathinaikos,0,1,A,2.53,3.05,3.15,2.79,2.94,2.93,1.89,1.99,-0.25,0,2.62,1.51,2.5
G1,26/10/2019,15:15,OFI Crete,Xanthi,2,0,H,1.64,3.71,6,1.5,4.23,6.97,1.88,1.99,-0.75,-1,1.81,2.06,2.5
G1,26/10/2019,17:30,Volos NFC,PAOK,0,2,A,11.93,6.79,1.22,12.64,6.9,1.21,1.96,1.93,1.5,1.75,1.56,2.5,2.5
G1,27/10/2019,13:00,Panathinaikos,Larisa,1,2,A,1.72,3.49,5.69,1.79,3.32,5.46,2.09,1.79,-0.75,-0.75,2.51,1.55,2.5
G1,27/10/2019,15:00,Atromitos,Panionios,4,0,H,1.57,3.7,7.2,1.53,3.87,7.34,2.09,1.79,-1,-1,2.24,1.68,2.5
G1,27/10/2019,15:15,Aris,Panetolikos,2,0,H,1.48,4.38,7.02,1.37,4.97,8.46,1.88,1.99,-1,-1.25,1.96,1.9,2.5
G1,27/10/2019,17:30,Olympiakos,AEK,2,0,H,1.55,4.1,6.3,1.55,4.09,6.35,2.01,1.87,-1,-1,2.02,1.84,2.5
G1,28/10/2019,17:30,Asteras Tripolis,Lamia,4,1,H,1.83,3.4,4.94,1.55,3.74,7.52,2.04,1.84,-0.5,-1,2.45,1.58,2.5
G1,02/11/2019,17:30,Panionios,Aris,1,1,D,4.32,3.52,1.91,4.13,3.54,1.94,1.94,1.94,0.5,0.5,2.25,1.67,2.5
G1,02/11/2019,18:00,Xanthi,Olympiakos,0,0,D,10.3,3.98,1.43,10.27,4.06,1.42,1.87,2.01,1.25,1.25,2.11,1.77,2.5
G1,03/11/2019,13:00,Larisa,OFI Crete,3,2,H,2.75,2.98,2.94,2.32,3.16,3.42,1.98,1.9,0,-0.25,2.42,1.59,2.5
G1,03/11/2019,15:00,Panetolikos,Asteras Tripolis,1,1,D,2.63,3.05,3.02,2.45,3.05,3.3,2.07,1.82,0,-0.25,2.5,1.55,2.5
G1,03/11/2019,17:30,AEK,Atromitos,3,2,H,1.41,4.42,8.9,1.43,4.23,8.98,2.07,1.81,-1.25,-1.25,2.04,1.82,2.5
G1,03/11/2019,18:00,PAOK,Panathinaikos,2,2,D,1.29,5.26,11.6,1.38,4.49,9.76,1.98,1.9,-1.5,-1.25,1.96,1.9,2.5
G1,04/11/2019,18:00,Lamia,Volos NFC,1,0,H,2.36,3.25,3.23,2.19,3.24,3.63,1.88,2.01,-0.25,-0.25,2.39,1.6,2.5
G1,09/11/2019,15:15,Volos NFC,Panetolikos,3,2,H,2.05,3.69,3.58,2.3,3.14,3.48,1.96,1.93,-0.5,-0.25,2.36,1.62,2.5
G1,09/11/2019,17:30,OFI Crete,PAOK,0,1,A,5.07,3.63,1.75,4.75,4.09,1.7,1.96,1.92,0.75,0.75,1.69,2.22,2.5
G1,10/11/2019,13:00,Aris,Asteras Tripolis,2,1,H,1.5,3.98,7.8,1.43,4.32,8.67,1.79,2.09,-1,-1,2.08,1.79,2.5
G1,10/11/2019,15:00,Xanthi,Panionios,1,2,A,1.88,3.31,4.81,1.98,3.2,4.52,1.98,1.9,-0.5,-0.5,2.42,1.59,2.5
G1,10/11/2019,15:15,Olympiakos,Atromitos,2,0,H,1.12,7.68,26.91,1.13,7.22,23.85,2.03,1.81,-2,-2,1.56,2.43,2.5
G1,10/11/2019,17:30,Panathinaikos,AEK,3,2,H,3.21,3.17,2.42,2.9,3.09,2.69,2.01,1.87,0.25,0,2.52,1.55,2.5
G1,11/11/2019,17:30,Larisa,Lamia,0,3,A,1.63,3.55,6.66,1.93,3.05,5.24,1.93,1.96,-0.75,-0.5,2.59,1.52,2.5
G1,23/11/2019,17:30,Panionios,Olympiakos,1,1,D,,,,19.08,7.07,1.15,1.84,2.01,2.25,2,1.65,2.25,2.5
G1,23/11/2019,18:00,Lamia,Xanthi,1,0,H,2.38,2.91,3.5,2.06,2.98,4.33,2.06,1.79,-0.25,-0.5,2.83,1.42,2.5
G1,24/11/2019,15:00,Atromitos,OFI Crete,2,1,H,1.93,3.4,4.2,1.94,3.33,4.29,1.94,1.91,-0.5,-0.5,1.97,1.86,2.5
G1,24/11/2019,15:15,Asteras Tripolis,Volos NFC,0,0,D,1.71,3.58,5.25,1.59,3.93,5.77,1.78,2.08,-0.75,-0.75,2.01,1.82,2.5
G1,24/11/2019,16:00,PAOK,Larisa,1,0,H,1.19,6.19,13.45,1.15,7.01,15.37,1.73,2.09,-1.5,-1.75,1.57,2.34,2.5
G1,24/11/2019,17:30,AEK,Aris,1,1,D,1.53,3.81,7.04,1.56,3.7,6.84,2.09,1.76,-1,-1,1.97,1.85,2.5
G1,24/11/2019,17:30,Panetolikos,Panathinaikos,0,0,D,3.65,3.2,2.2,3.97,3.25,2.03,2.14,1.73,0.25,0.25,2.29,1.63,2.5
G1,30/11/2019,15:15,Larisa,Volos NFC,2,1,H,1.93,3.31,4.32,1.59,4.09,5.44,1.8,2.05,-0.5,-0.75,2.02,1.81,2.5
G1,30/11/2019,15:15,Panionios,Panetolikos,3,0,H,,,,2.42,3.02,3.27,2.04,1.81,-0.5,-0.25,2.51,1.52,2.5
G1,30/11/2019,17:30,OFI Crete,AEK,1,0,H,3.45,2.95,2.37,3.15,3.18,2.39,1.81,2.04,0.25,0.25,2.01,1.82,2.5
G1,01/12/2019,13:00,Panathinaikos,Asteras Tripolis,1,0,H,1.57,3.73,6.58,1.51,3.9,7.19,1.96,1.88,-0.75,-1,2.27,1.64,2.5
G1,01/12/2019,15:15,Aris,Lamia,1,1,D,1.3,4.67,12.16,1.35,4.27,11.43,1.99,1.85,-1.25,-1.25,2.21,1.67,2.5
G1,01/12/2019,15:15,Xanthi,Atromitos,1,0,H,2.95,2.92,2.72,3.07,2.96,2.59,2.1,1.76,0,0,2.48,1.53,2.5
G1,01/12/2019,17:30,Olympiakos,PAOK,1,1,D,1.82,3.49,4.63,1.72,3.67,4.96,1.97,1.88,-0.5,-0.75,2.11,1.73,2.5
G1,07/12/2019,16:00,PAOK,Xanthi,2,0,H,1.13,7.53,23.86,1.13,7.53,24.73,2.02,1.83,-2,-2,1.75,2.08,2.5
G1,07/12/2019,17:30,AEK,Panionios,5,0,H,1.21,6.1,13.75,1.23,5.64,13.79,1.87,1.97,-1.75,-1.5,1.78,2.05,2.5
G1,07/12/2019,18:00,Panetolikos,Olympiakos,0,3,A,11.89,5.19,1.27,11.11,4.9,1.3,1.77,2.08,1.5,1.5,1.84,1.98,2.5
G1,08/12/2019,13:00,Lamia,OFI Crete,2,1,H,2.71,2.81,3.07,2.9,2.97,2.71,1.99,1.85,0,0,2.53,1.52,2.5
G1,08/12/2019,15:15,Asteras Tripolis,Larisa,1,1,D,2.07,3.1,4.09,1.83,3.47,4.62,1.83,2.02,-0.5,-0.5,2.43,1.56,2.5
G1,08/12/2019,17:30,Atromitos,Aris,2,2,D,2.62,3.07,2.92,2.79,2.92,2.86,1.9,1.95,0,0,2.69,1.46,2.5
G1,08/12/2019,17:30,Volos NFC,Panathinaikos,1,1,D,4.04,3.13,2.06,3.85,3.42,2.01,1.84,2.01,0.5,0.5,2.29,1.63,2.5
G1,14/12/2019,15:15,OFI Crete,Aris,3,1,H,2.42,3.09,3.11,2.81,3.06,2.66,1.98,1.87,0,0,2.07,1.76,2.5
G1,14/12/2019,17:30,Panathinaikos,Lamia,2,0,H,1.52,3.66,7.61,1.49,3.95,7.08,1.93,1.91,-1,-1,2.25,1.65,2.5
G1,14/12/2019,18:00,Xanthi,AEK,0,1,A,5.34,3.28,1.76,6.03,3.46,1.65,1.97,1.87,0.5,0.75,2.42,1.56,2.5
G1,15/12/2019,13:00,Larisa,Atromitos,1,2,A,2.47,3.04,3.09,2.37,3.02,3.28,2.02,1.83,0,-0.25,2.3,1.62,2.5
G1,15/12/2019,15:15,Volos NFC,Panionios,2,1,H,1.95,3.31,4.15,2.27,3.06,3.43,1.94,1.91,-0.5,-0.25,2.29,1.63,2.5
G1,15/12/2019,17:30,Asteras Tripolis,Olympiakos,0,5,A,7.66,4.05,1.46,7.57,4.61,1.4,2.03,1.81,1,1,2.14,1.71,2.5
G1,15/12/2019,17:30,Panetolikos,PAOK,0,3,A,10.29,5.14,1.29,9.44,5.17,1.3,1.92,1.93,1.5,1.25,1.83,2,2.5
G1,18/12/2019,15:00,Xanthi,Panetolikos,0,0,D,2.06,3.05,4.08,2.11,2.98,4.03,1.78,2.07,-0.5,-0.25,2.65,1.48,2.5
G1,18/12/2019,15:15,OFI Crete,Panathinaikos,1,1,D,2.62,2.98,2.93,2.7,2.9,2.92,1.84,2,0,0,2.23,1.66,2.5
G1,18/12/2019,15:15,Olympiakos,Larisa,4,1,H,1.16,6.86,19.13,1.15,7.26,18.56,2.03,1.81,-2,-2,1.56,2.42,2.5
G1,18/12/2019,17:30,AEK,Asteras Tripolis,2,1,H,1.32,4.45,11.85,1.33,4.52,10.74,2.02,1.82,-1.5,-1.5,1.88,1.94,2.5
G1,18/12/2019,17:30,Atromitos,Lamia,1,1,D,1.75,3.29,5.48,1.69,3.35,5.8,1.95,1.89,-0.75,-0.75,2.39,1.58,2.5
