Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
I2,25/09/2020,15:45,Monza,Spal,0,0,D,2.13,3.41,3.77,1.98,3.61,4.03,1.98,1.93,-0.25,-0.5,2.2,1.72,2.5
I2,26/09/2020,13:00,Brescia,Ascoli,1,1,D,1.85,3.42,5.05,1.74,3.74,5.3,1.99,1.92,-0.75,-0.75,2.1,1.79,2.5
I2,26/09/2020,13:00,Cosenza,Virtus Entella,0,0,D,2.29,3.21,3.57,2.27,3.23,3.61,1.93,1.98,-0.25,-0.25,2.24,1.7,2.5
I2,26/09/2020,13:00,Frosinone,Empoli,0,2,A,2.3,3.14,3.65,2.21,3.22,3.77,1.88,2.03,-0.25,-0.25,2.22,1.71,2.5
I2,26/09/2020,13:00,Lecce,Pordenone,0,0,D,1.96,3.33,4.56,1.97,3.47,4.28,1.97,1.93,-0.5,-0.5,2.06,1.84,2.5
I2,26/09/2020,13:00,Pescara,Chievo,0,0,D,2.65,3.06,3.1,2.68,3.01,3.11,1.81,2.11,0,0,2.32,1.66,2.5
I2,26/09/2020,13:00,Salernitana,Reggina,1,1,D,2.25,3.44,3.42,2.36,3.2,3.42,2.01,1.9,-0.25,-0.25,2.27,1.68,2.5
I2,26/09/2020,15:00,Venezia,Vicenza,1,0,H,2.11,3.22,4.12,2.64,3.02,3.16,2.2,1.74,-0.5,-0.25,2.43,1.61,2.5
I2,27/09/2020,14:00,Cremonese,Cittadella,0,2,A,2.33,3.13,3.58,2.44,3.13,3.35,2.06,1.85,-0.25,-0.25,2.24,1.7,2.5
I2,27/09/2020,20:00,Reggiana,Pisa,2,2,D,2.72,3.09,2.97,2.67,3.18,2.96,1.85,2.06,0,0,2.22,1.71,2.5
I2,03/10/2020,13:15,Chievo,Salernitana,1,2,A,1.99,3.26,4.54,2.15,3.23,3.95,1.83,2.1,-0.5,-0.25,2.28,1.68,2.5
I2,03/10/2020,15:15,Ascoli,Lecce,0,2,A,3.29,3.15,2.46,3.28,3.38,2.34,1.9,2.01,0.25,0.25,2,1.88,2.5
I2,03/10/2020,15:15,Empoli,Monza,0,0,D,2.96,3.11,2.72,3.47,3.32,2.28,1.96,1.94,0,0.25,2.08,1.82,2.5
I2,03/10/2020,15:15,Reggina,Pescara,3,1,H,2.16,3.16,4.04,2.18,3.26,3.8,1.85,2.06,-0.25,-0.25,2.27,1.68,2.5
I2,03/10/2020,15:15,Spal,Cosenza,1,1,D,1.75,3.44,5.99,1.85,3.41,5.11,1.85,2.07,-0.75,-0.5,2.3,1.67,2.5
I2,03/10/2020,15:15,Venezia,Frosinone,0,2,A,2.99,2.84,2.94,3.19,2.98,2.64,2.16,1.78,0,0,2.5,1.58,2.5
I2,03/10/2020,15:15,Vicenza,Pordenone,1,1,D,2.58,2.98,3.29,2.26,3.22,3.65,1.92,1.99,-0.25,-0.25,2.31,1.66,2.5
I2,03/10/2020,15:15,Virtus Entella,Reggiana,0,2,A,2.28,3.13,3.71,2.16,3.34,3.78,1.84,2.08,-0.25,-0.25,2.17,1.74,2.5
I2,04/10/2020,14:00,Pisa,Cremonese,1,1,D,2.45,2.95,3.57,2.4,3.1,3.46,2.03,1.88,-0.25,-0.25,2.46,1.59,2.5
I2,04/10/2020,20:00,Cittadella,Brescia,3,0,H,2.88,3.12,2.78,2.25,3.35,3.52,1.93,1.98,0,-0.25,2.03,1.86,2.5
I2,16/10/2020,20:00,Brescia,Lecce,3,0,H,2.54,3.29,3.02,2.7,3.2,2.91,1.88,2.03,0,0,1.88,2.01,2.5
I2,17/10/2020,13:00,Cosenza,Cittadella,1,1,D,3.09,3.09,2.63,3.1,3.22,2.54,2.16,1.76,0,0,2.11,1.79,2.5
I2,17/10/2020,13:00,Cremonese,Venezia,0,0,D,2.16,3.08,4.15,2.28,3.1,3.74,1.93,1.98,-0.25,-0.25,2.36,1.64,2.5
I2,17/10/2020,13:00,Frosinone,Ascoli,1,0,H,1.86,3.4,5.01,1.99,3.35,4.38,1.99,1.92,-0.5,-0.5,2.02,1.88,2.5
I2,17/10/2020,13:00,Pordenone,Spal,3,3,D,2.56,3.2,3.08,3.52,2.97,2.46,1.85,2.06,0,0.25,2.51,1.57,2.5
I2,17/10/2020,13:00,Reggiana,Chievo,0,1,A,3.02,3.06,2.71,3.07,3.08,2.65,2.11,1.82,0,0,2.19,1.73,2.5
I2,17/10/2020,13:00,Salernitana,Pisa,4,1,H,2.36,3.28,3.34,2.2,3.4,3.58,1.88,2.03,-0.25,-0.25,2.08,1.81,2.5
