Div,DateTime,HomeTeam,AwayTeam
I2,14.04.2022 18:00,Cosenza,Benevento
I2,18.04.2022 10:30,SPAL,Crotone
I2,18.04.2022 13:00,Pordenone,Benevento
I2,18.04.2022 13:00,Reggina,Lecce
I2,18.04.2022 13:00,Vicenza,Perugia
I2,18.04.2022 13:00,Cremonese,Cosenza
I2,18.04.2022 16:00,Parma,Ascoli
I2,18.04.2022 16:00,Pisa,Como
I2,18.04.2022 16:00,Ternana,Frosinone
I2,18.04.2022 16:00,Cittadella,Alessandria
I2,18.04.2022 18:30,Monza,Brescia
I2,25.04.2022 10:30,Ascoli,Cittadella
I2,25.04.2022 13:00,Frosinone,Monza
I2,25.04.2022 13:00,Cosenza,Pordenone
I2,25.04.2022 13:00,Alessandria,Reggina
I2,25.04.2022 13:00,Lecce,Pisa
I2,25.04.2022 13:00,Crotone,Cremonese
I2,25.04.2022 16:00,Brescia,SPAL
I2,25.04.2022 16:00,Benevento,Ternana
I2,25.04.2022 16:00,Como,Vicenza
I2,25.04.2022 18:30,Perugia,Parma
I2,30.04.2022 13:00,Pisa,Cosenza
I2,30.04.2022 13:00,Monza,Benevento
I2,30.04.2022 13:00,Ternana,Perugia
I2,30.04.2022 13:00,Vicenza,Lecce
I2,30.04.2022 13:00,SPAL,Frosinone
I2,30.04.2022 13:00,Pordenone,Crotone
I2,30.04.2022 13:00,Reggina,Como
I2,30.04.2022 13:00,Cittadella,Brescia
I2,30.04.2022 13:00,Cremonese,Ascoli
I2,30.04.2022 13:00,Parma,Alessandria
I2,06.05.2022 13:00,Como,Cremonese
I2,06.05.2022 13:00,Alessandria,Vicenza
I2,06.05.2022 13:00,Perugia,Monza
I2,06.05.2022 13:00,Crotone,Parma
I2,06.05.2022 13:00,Frosinone,Pisa
I2,06.05.2022 13:00,Lecce,Pordenone
I2,06.05.2022 13:00,Brescia,Reggina
I2,06.05.2022 13:00,Benevento,SPAL
I2,06.05.2022 13:00,Ascoli,Ternana
I2,06.05.2022 13:00,Cosenza,Cittadella
