Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
N1,13/08/2021,19:00,Go Ahead Eagles,Heerenveen,0,1,A,2.81,3.39,2.65,2.81,3.44,2.63,2.02,1.89,0,0,1.94,1.94,2.5
N1,14/08/2021,15:30,Waalwijk,AZ Alkmaar,1,0,H,6.49,4.94,1.47,5.13,4.2,1.67,1.78,2.15,1.25,1,1.63,2.37,2.5
N1,14/08/2021,17:45,Heracles,PSV Eindhoven,0,2,A,6.37,4.72,1.5,5.51,4.08,1.65,1.79,2.13,1.25,1,1.78,2.11,2.5
N1,14/08/2021,19:00,For Sittard,Twente,2,1,H,2.8,3.53,2.55,3.01,3.54,2.42,1.83,2.09,0,0.25,1.86,2.03,2.5
N1,14/08/2021,20:00,Ajax,Nijmegen,5,0,H,1.09,11.29,30.3,1.07,13.86,33.28,1.88,1.99,-2.75,-3,1.19,4.89,2.5
N1,15/08/2021,11:15,Cambuur,Groningen,1,2,A,2.49,3.62,2.82,2.41,3.52,3.04,2.08,1.84,0,-0.25,1.83,2.05,2.5
N1,15/08/2021,13:30,Utrecht,Sparta Rotterdam,4,0,H,1.58,4.35,5.67,1.56,4.2,6.56,1.94,1.96,-1,-1,1.94,1.94,2.5
N1,15/08/2021,13:30,Zwolle,Vitesse,0,1,A,3.89,3.63,1.99,2.98,3.49,2.46,1.81,2.12,0.5,0.25,1.77,2.13,2.5
N1,15/08/2021,15:45,Willem II,Feyenoord,0,4,A,4.24,4.22,1.78,5.4,4.21,1.65,1.82,2.11,0.75,1,1.75,2.17,2.5
N1,20/08/2021,19:00,Nijmegen,Zwolle,2,0,H,2.58,3.44,2.86,2.59,3.39,2.88,1.85,2.06,0,0,1.93,1.96,2.5
N1,21/08/2021,17:45,Heerenveen,Waalwijk,3,2,H,1.76,3.78,4.91,1.56,4.38,6.17,1.93,1.98,-0.75,-1,1.65,2.34,2.5
N1,21/08/2021,19:00,PSV Eindhoven,Cambuur,4,1,H,1.26,6.64,9.78,1.27,6.77,9.99,1.98,1.91,-1.75,-1.75,1.38,3.11,2.5
N1,21/08/2021,19:00,Sparta Rotterdam,Heracles,1,1,D,2.24,3.23,3.59,2.09,3.47,3.83,2.09,1.83,-0.25,-0.5,1.94,1.94,2.5
N1,21/08/2021,20:00,Groningen,Utrecht,0,0,D,3.6,3.81,2.02,3.56,3.64,2.11,2.09,1.83,0.5,0.25,1.86,2.03,2.5
