Div,DateTime,HomeTeam,AwayTeam
N1,16.04.2022 16:45,Fortuna Sittard,Sparta Rotterdam
N1,19.04.2022 16:45,Vitesse,Sparta Rotterdam
N1,22.04.2022 18:00,FC Twente,Sparta Rotterdam
N1,23.04.2022 14:30,NEC,Ajax
N1,23.04.2022 16:45,AZ,SC Heerenveen
N1,23.04.2022 18:00,RKC Waalwijk,PEC Zwolle
N1,23.04.2022 19:00,SC Cambuur,PSV
N1,24.04.2022 10:15,Willem II,Vitesse
N1,24.04.2022 12:30,Feyenoord,FC Utrecht
N1,24.04.2022 12:30,FC Groningen,Heracles Almelo
N1,24.04.2022 14:45,Fortuna Sittard,Go Ahead Eagles
N1,29.04.2022 18:00,FC Utrecht,NEC
N1,30.04.2022 16:45,Ajax,PEC Zwolle
N1,30.04.2022 18:00,Heracles Almelo,FC Twente
N1,30.04.2022 19:00,Sparta Rotterdam,AZ
N1,01.05.2022 10:15,SC Heerenveen,SC Cambuur
N1,01.05.2022 12:30,Fortuna Sittard,Feyenoord
N1,01.05.2022 12:30,PSV,Willem II
N1,01.05.2022 12:30,Go Ahead Eagles,Vitesse
N1,01.05.2022 18:00,RKC Waalwijk,FC Groningen
N1,06.05.2022 18:00,SC Cambuur,RKC Waalwijk
N1,07.05.2022 16:45,FC Twente,Fortuna Sittard
N1,07.05.2022 18:00,Willem II,Heracles Almelo
N1,07.05.2022 18:00,PEC Zwolle,FC Utrecht
N1,07.05.2022 19:00,FC Groningen,Sparta Rotterdam
N1,08.05.2022 10:15,NEC,Go Ahead Eagles
N1,08.05.2022 12:30,Feyenoord,PSV
N1,08.05.2022 12:30,Vitesse,SC Heerenveen
N1,08.05.2022 14:45,AZ,Ajax
N1,11.05.2022 18:00,FC Utrecht,AZ
N1,11.05.2022 18:00,FC Twente,FC Groningen
N1,11.05.2022 18:00,Sparta Rotterdam,PEC Zwolle
N1,11.05.2022 18:00,RKC Waalwijk,Heracles Almelo
N1,11.05.2022 18:00,PSV,NEC
N1,11.05.2022 18:00,Go Ahead Eagles,Feyenoord
N1,11.05.2022 18:00,Fortuna Sittard,Vitesse
N1,11.05.2022 18:00,SC Cambuur,Willem II
N1,11.05.2022 18:00,Ajax,SC Heerenveen
N1,15.05.2022 12:30,AZ,RKC Waalwijk
N1,15.05.2022 12:30,Feyenoord,FC Twente
N1,15.05.2022 12:30,FC Groningen,SC Cambuur
N1,15.05.2022 12:30,Heracles Almelo,Sparta Rotterdam
N1,15.05.2022 12:30,SC Heerenveen,Go Ahead Eagles
N1,15.05.2022 12:30,NEC,Fortuna Sittard
N1,15.05.2022 12:30,PEC Zwolle,PSV
N1,15.05.2022 12:30,Vitesse,Ajax
N1,15.05.2022 12:30,Willem II,FC Utrecht
