Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
P1,09/08/2019,20:30,Portimonense,Belenenses,0,0,D,2.02,3.54,3.91,1.67,3.86,5.56,2.19,1.74,-0.5,-1,1.97,1.91,2.5
P1,10/08/2019,16:30,Santa Clara,Famalicao,0,2,A,2.08,3.23,4.09,1.95,3.4,4.42,1.95,1.95,-0.5,-0.5,2.26,1.68,2.5
P1,10/08/2019,19:00,Gil Vicente,Porto,2,1,H,10.58,5.41,1.31,10.58,5.7,1.29,1.93,1.97,1.5,1.5,1.72,2.2,2.5
P1,10/08/2019,21:30,Benfica,Pacos Ferreira,5,0,H,1.12,9.61,22.87,1.19,6.64,18.93,1.88,2.02,-2.25,-1.75,1.58,2.47,2.5
P1,11/08/2019,16:00,Boavista,Aves,2,1,H,2.35,3.09,3.51,2.08,3.19,4.14,2.08,1.82,-0.25,-0.5,2.59,1.53,2.5
P1,11/08/2019,18:30,Maritimo,Sp Lisbon,1,1,D,5.4,3.86,1.68,5.53,4.03,1.64,2.05,1.85,0.75,0.75,1.99,1.89,2.5
P1,11/08/2019,21:00,Sp Braga,Moreirense,3,1,H,1.43,4.7,7.87,1.43,4.52,8.39,1.74,2.19,-1.25,-1,1.93,1.95,2.5
P1,12/08/2019,20:15,Setubal,Tondela,0,0,D,2.18,3.23,3.76,2.02,3.32,4.22,2.02,1.88,-0.25,-0.5,2.5,1.57,2.5
P1,16/08/2019,20:30,Famalicao,Rio Ave,1,0,H,2.88,3.58,2.45,2.88,3.61,2.43,1.79,2.11,0.25,0.25,1.71,2.21,2.5
P1,17/08/2019,16:30,Moreirense,Gil Vicente,3,0,H,2.31,3.25,3.4,2.22,3.28,3.56,1.91,1.99,-0.25,-0.25,2.3,1.66,2.5
P1,17/08/2019,19:00,Belenenses,Benfica,0,2,A,13.66,7.2,1.2,15.01,7.66,1.18,1.99,1.91,2,2,1.47,2.78,2.5
P1,17/08/2019,21:30,Porto,Setubal,4,0,H,1.16,7.69,22.17,1.14,8.37,22.47,1.81,2.1,-2,-2,1.5,2.69,2.5
P1,18/08/2019,16:00,Aves,Maritimo,3,1,H,2.29,3.23,3.46,2.17,3.25,3.75,1.85,2.05,-0.25,-0.25,2.52,1.56,2.5
P1,18/08/2019,16:00,Pacos Ferreira,Santa Clara,0,1,A,2.38,3.36,3.16,2.18,3.42,3.53,1.88,2.02,-0.25,-0.25,2.28,1.68,2.5
P1,18/08/2019,18:30,Guimaraes,Boavista,1,1,D,1.63,3.99,5.71,1.73,3.66,5.38,1.98,1.92,-0.75,-0.75,2.22,1.71,2.5
P1,18/08/2019,21:00,Sp Lisbon,Sp Braga,2,1,H,1.98,3.57,4.02,2.02,3.71,3.71,2.02,1.88,-0.5,-0.5,1.75,2.16,2.5
P1,19/08/2019,20:15,Tondela,Portimonense,1,2,A,2.73,3.45,2.64,2.77,3.32,2.69,1.98,1.92,0,0,2.14,1.76,2.5
P1,23/08/2019,19:00,Setubal,Moreirense,0,0,D,2.66,3.1,2.98,2.35,3.25,3.32,2.01,1.88,0,-0.25,2.61,1.53,2.5
P1,23/08/2019,21:15,Rio Ave,Aves,5,1,H,1.82,3.79,4.48,1.89,3.58,4.42,1.89,2.01,-0.75,-0.5,1.93,1.95,2.5
P1,24/08/2019,19:00,Benfica,Porto,0,2,A,1.93,3.58,4.24,2.11,3.43,3.71,2.11,1.8,-0.5,-0.5,1.85,2.03,2.5
P1,24/08/2019,21:30,Boavista,Pacos Ferreira,1,1,D,2.21,3.23,3.67,2.58,3.04,3.14,2.18,1.75,-0.25,-0.25,2.68,1.51,2.5
P1,25/08/2019,16:00,Maritimo,Tondela,2,3,A,2.07,3.2,4.18,2.29,3.13,3.59,1.94,1.96,-0.5,-0.25,2.36,1.63,2.5
P1,25/08/2019,16:00,Santa Clara,Belenenses,0,0,D,2.14,3.29,3.79,1.82,3.62,4.77,1.82,2.09,-0.5,-0.5,2.2,1.72,2.5
P1,25/08/2019,18:30,Portimonense,Sp Lisbon,1,3,A,4.37,3.62,1.89,4.29,3.9,1.83,1.83,2.07,0.5,0.75,1.71,2.22,2.5
P1,25/08/2019,20:30,Gil Vicente,Sp Braga,1,1,D,5.25,3.62,1.75,4.28,3.37,1.99,1.91,1.99,0.75,0.5,2.05,1.83,2.5
P1,25/08/2019,21:00,Guimaraes,Famalicao,1,1,D,1.74,3.62,5.34,1.9,3.54,4.45,1.9,2,-0.75,-0.5,2.04,1.85,2.5
P1,30/08/2019,19:00,Moreirense,Portimonense,1,0,H,2.36,3.43,3.13,2.27,3.44,3.3,1.96,1.94,-0.25,-0.25,2.15,1.75,2.5
P1,30/08/2019,21:15,Belenenses,Boavista,0,1,A,2.5,3.05,3.25,2.55,2.98,3.27,2.14,1.78,-0.25,-0.25,2.65,1.52,2.5
