Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
SC1,16/10/2020,19:45,Hearts,Dundee,6,2,H,1.75,3.8,5.12,1.73,3.83,5.22,1.96,1.94,-0.75,-0.75,2.06,1.83,2.5
SC1,17/10/2020,15:00,Ayr,Queen of Sth,2,1,H,1.74,4.1,4.62,1.98,3.66,4,1.98,1.93,-0.5,-0.5,1.83,2.06,2.5
SC1,17/10/2020,15:00,Dunfermline,Inverness C,3,1,H,2.46,3.45,2.97,2.07,3.53,3.81,1.78,2.14,0,-0.25,1.97,1.92,2.5
SC1,17/10/2020,15:00,Morton,Alloa,1,0,H,1.94,3.89,3.81,1.95,3.97,3.79,1.95,1.95,-0.5,-0.5,1.85,2.04,2.5
SC1,17/10/2020,15:00,Raith Rvs,Arbroath,3,0,H,2.88,3.73,2.39,2.58,3.52,2.82,1.87,2.04,0,0,2.06,1.84,2.5
SC1,23/10/2020,19:45,Arbroath,Hearts,0,1,A,11.45,5.5,1.31,13.88,6.23,1.25,1.91,2,1.5,1.75,1.71,2.22,2.5
SC1,24/10/2020,15:00,Alloa,Dunfermline,1,4,A,4.34,3.9,1.82,4.74,4.03,1.75,1.93,1.97,0.5,0.75,1.88,2.01,2.5
SC1,24/10/2020,15:00,Dundee,Morton,1,0,H,1.8,3.81,4.59,1.69,4.01,5.22,1.92,1.98,-0.75,-0.75,2.03,1.86,2.5
SC1,24/10/2020,15:00,Inverness C,Ayr,1,1,D,2.38,3.53,3.04,2.6,3.44,2.83,1.87,2.04,-0.25,0,2.1,1.79,2.5
SC1,24/10/2020,15:00,Queen of Sth,Raith Rvs,2,5,A,2.71,3.55,2.62,2.91,3.41,2.56,2.09,1.83,0,0,1.96,1.92,2.5
SC1,31/10/2020,15:00,Dundee,Raith Rvs,1,1,D,2.16,3.49,3.53,1.88,4,4.02,1.88,2.03,-0.25,-0.5,1.72,2.21,2.5
SC1,31/10/2020,15:00,Dunfermline,Queen of Sth,3,2,H,1.62,4.11,5.65,1.74,3.85,5.14,1.96,1.94,-0.75,-0.75,1.89,1.99,2.5
SC1,31/10/2020,15:00,Inverness C,Arbroath,3,1,H,2.23,3.78,3.11,2.15,3.75,3.37,1.87,2.04,-0.25,-0.25,1.96,1.93,2.5
SC1,31/10/2020,15:00,Morton,Ayr,3,2,H,3.18,3.36,2.37,2.4,3.51,3.06,2.07,1.85,0.25,-0.25,1.88,2,2.5
SC1,06/11/2020,19:45,Alloa,Dundee,3,3,D,4.12,3.55,1.96,4.16,3.6,1.93,1.95,1.93,0.5,0.5,2.02,1.85,2.5
SC1,07/11/2020,15:00,Arbroath,Queen of Sth,1,1,D,2.12,3.65,3.4,2.6,3.43,2.79,1.88,2.02,-0.25,0,1.92,1.95,2.5
SC1,07/11/2020,15:00,Ayr,Dunfermline,0,0,D,2.94,3.76,2.31,2.78,3.64,2.51,2.05,1.85,0.25,0,1.76,2.13,2.5
SC1,07/11/2020,15:00,Hearts,Inverness C,2,1,H,1.45,4.59,7.25,1.36,5.37,8.68,2.03,1.86,-1.25,-1.5,1.68,2.25,2.5
SC1,07/11/2020,15:00,Raith Rvs,Morton,5,0,H,2.11,3.89,3.24,2.1,3.99,3.26,2.09,1.8,-0.25,-0.5,1.57,2.49,2.5
SC1,20/11/2020,19:45,Dunfermline,Hearts,2,1,H,5.37,3.67,1.73,5.07,3.67,1.76,1.91,1.98,0.75,0.75,1.85,2.02,2.5
SC1,21/11/2020,15:00,Arbroath,Morton,0,0,D,2.35,3.43,3.11,2.33,3.5,3.14,2.01,1.88,-0.25,-0.25,1.92,1.95,2.5
SC1,21/11/2020,15:00,Ayr,Dundee,2,0,H,2.96,3.58,2.37,2.81,3.56,2.52,2.06,1.84,0.25,0,1.93,1.94,2.5
SC1,21/11/2020,15:00,Inverness C,Raith Rvs,2,0,H,2.54,3.51,2.78,2.32,3.73,3,2.02,1.87,0,-0.25,1.74,2.17,2.5
SC1,21/11/2020,15:00,Queen of Sth,Alloa,2,0,H,2.3,3.46,3.17,2.1,3.69,3.49,1.83,2.08,-0.25,-0.25,1.86,2.01,2.5
SC1,24/11/2020,19:00,Hearts,Alloa,3,0,H,1.17,7.61,19.27,1.16,7.99,19.09,1.97,1.88,-2,-2,1.52,2.6,2.5
SC1,04/12/2020,19:45,Queen of Sth,Inverness C,0,3,A,2.8,3.46,2.58,2.95,3.55,2.42,1.81,2.1,0,0.25,1.84,2.04,2.5
SC1,05/12/2020,15:00,Alloa,Ayr,0,2,A,3.38,3.4,2.2,3.15,3.51,2.32,1.89,2,0.25,0.25,1.8,2.07,2.5
SC1,05/12/2020,15:00,Dundee,Arbroath,1,0,H,1.94,3.9,3.7,1.86,3.84,4.22,1.86,2.04,-0.5,-0.5,2.06,1.82,2.5
SC1,05/12/2020,15:00,Morton,Hearts,0,2,A,8.01,4.75,1.41,8.19,4.97,1.4,2,1.89,1.25,1.25,1.69,2.23,2.5
SC1,05/12/2020,15:00,Raith Rvs,Dunfermline,2,2,D,2.99,3.78,2.28,3.06,3.91,2.21,1.94,1.94,0.25,0.25,1.62,2.37,2.5
SC1,11/12/2020,19:45,Ayr,Raith Rvs,0,0,D,2.57,3.5,2.79,2.51,3.53,2.84,1.83,2.07,0,0,1.93,1.94,2.5
SC1,12/12/2020,15:00,Arbroath,Alloa,0,1,A,1.99,3.55,3.89,2,3.58,3.92,2,1.89,-0.5,-0.5,2.07,1.81,2.5
SC1,12/12/2020,15:00,Dunfermline,Morton,1,2,A,1.63,4.13,5.34,1.58,4.26,5.83,2.02,1.87,-1,-1,1.77,2.11,2.5
SC1,12/12/2020,15:00,Hearts,Queen of Sth,6,1,H,1.26,6.01,11.81,1.26,6.24,11.67,1.84,2.06,-1.5,-1.5,1.5,2.69,2.5
SC1,12/12/2020,15:00,Inverness C,Dundee,2,2,D,2.33,3.53,3.06,2.31,3.5,3.17,1.99,1.89,-0.25,-0.25,2.07,1.81,2.5
SC1,19/12/2020,15:00,Alloa,Inverness C,2,1,H,3.66,4.05,1.92,3.97,4.09,1.85,2.04,1.85,0.5,0.5,1.84,2.04,2.5
SC1,19/12/2020,15:00,Arbroath,Ayr,2,1,H,3.04,3.36,2.43,2.92,3.31,2.58,2.08,1.83,0,0,2.2,1.71,2.5
SC1,19/12/2020,15:00,Dundee,Dunfermline,3,3,D,2.58,3.35,2.84,2.43,3.43,3.04,2.09,1.82,0,-0.25,1.98,1.88,2.5
SC1,19/12/2020,15:00,Morton,Queen of Sth,2,0,H,2.16,3.61,3.34,2.25,3.79,3.08,1.96,1.93,-0.25,-0.25,1.7,2.21,2.5
SC1,26/12/2020,15:00,Alloa,Raith Rvs,2,5,A,3.38,3.69,2.12,3.57,3.6,2.1,2.09,1.82,0.25,0.25,1.88,1.99,2.5
SC1,26/12/2020,15:00,Dunfermline,Arbroath,1,0,H,1.76,3.92,4.55,1.83,3.76,4.5,2.09,1.8,-0.75,-0.75,2.02,1.85,2.5
SC1,26/12/2020,15:00,Hearts,Ayr,5,3,H,1.43,4.91,7.15,1.29,6.09,9.4,1.81,2.06,-1.25,-1.5,1.5,2.66,2.5
SC1,26/12/2020,15:00,Queen of Sth,Dundee,1,3,A,3.48,3.59,2.11,3.97,3.83,1.92,1.97,1.92,0.5,0.5,1.78,2.11,2.5
SC1,29/12/2020,18:00,Ayr,Morton,1,1,D,2.05,3.68,3.63,2.15,3.6,3.43,1.86,2.03,-0.5,-0.25,1.82,2.04,2.5
SC1,29/12/2020,18:30,Inverness C,Dunfermline,1,1,D,2.52,3.36,2.95,2.38,3.33,3.18,2.04,1.85,0,-0.25,1.98,1.89,2.5
SC1,29/12/2020,19:45,Dundee,Alloa,3,1,H,1.54,4.3,6.48,1.51,4.23,7.11,1.88,2,-1,-1,2.01,1.87,2.5
SC1,29/12/2020,19:45,Hearts,Arbroath,3,1,H,1.23,6.56,12.64,1.21,7.03,13.35,2.05,1.83,-1.75,-2,1.48,2.7,2.5
SC1,29/12/2020,19:45,Raith Rvs,Queen of Sth,0,2,A,1.58,4.38,5.71,1.54,4.63,5.84,1.9,1.98,-1,-1,1.57,2.49,2.5
SC1,02/01/2021,15:00,Alloa,Morton,1,1,D,2.92,3.52,2.42,2.7,3.57,2.61,1.97,1.91,0.25,0,1.9,1.97,2.5
SC1,02/01/2021,15:00,Queen of Sth,Ayr,3,2,H,2.93,3.77,2.32,2.51,3.6,2.8,1.84,2.06,0.25,0,1.75,2.15,2.5
SC1,02/01/2021,19:20,Dundee,Hearts,3,1,H,4.72,3.9,1.74,4.24,3.82,1.85,2.04,1.85,0.75,0.5,1.84,2.04,2.5
SC1,15/01/2021,19:45,Morton,Dunfermline,0,0,D,3.51,3.55,2.14,4.01,3.62,1.96,1.93,1.96,0.25,0.5,1.92,1.95,2.5
SC1,16/01/2021,15:00,Alloa,Hearts,1,3,A,11.11,5.66,1.28,10.78,5.68,1.3,2.02,1.87,1.75,1.5,1.49,2.69,2.5
SC1,16/01/2021,15:00,Queen of Sth,Arbroath,2,2,D,2.37,3.48,3.04,2.25,3.62,3.2,1.95,1.93,-0.25,-0.25,1.98,1.89,2.5
SC1,22/01/2021,19:45,Arbroath,Dundee,1,1,D,4.04,3.74,1.93,5.01,3.93,1.71,1.94,1.94,0.5,0.75,2.05,1.83,2.5
SC1,23/01/2021,15:00,Dunfermline,Ayr,0,0,D,1.86,3.83,4.11,1.74,4,4.71,1.95,1.93,-0.5,-0.75,1.72,2.19,2.5
