Div,DateTime,HomeTeam,AwayTeam
SC1,15.04.2022 18:45,Inverness CT,Kilmarnock
SC1,16.04.2022 14:00,Arbroath,Queen of the South
SC1,16.04.2022 14:00,Dunfermline Athletic,Ayr United
SC1,16.04.2022 14:00,Greenock Morton,Hamilton Academical
SC1,16.04.2022 14:00,Partick Thistle,Raith Rovers
SC1,19.04.2022 18:45,Queen of the South,Inverness CT
SC1,22.04.2022 18:45,Kilmarnock,Arbroath
SC1,23.04.2022 14:00,Hamilton Academical,Raith Rovers
SC1,23.04.2022 14:00,Greenock Morton,Inverness CT
SC1,23.04.2022 14:00,Partick Thistle,Dunfermline Athletic
SC1,23.04.2022 14:00,Queen of the South,Ayr United
SC1,29.04.2022 18:45,Arbroath,Greenock Morton
SC1,29.04.2022 18:45,Ayr United,Partick Thistle
SC1,29.04.2022 18:45,Dunfermline Athletic,Queen of the South
SC1,29.04.2022 18:45,Inverness CT,Hamilton Academical
SC1,29.04.2022 18:45,Raith Rovers,Kilmarnock
