Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
SP1,12/09/2020,15:00,Eibar,Celta,0,0,D,2.6,3.22,3.01,2.87,3.07,2.87,1.96,1.96,0,0,2.67,1.53,2.5
SP1,12/09/2020,17:30,Granada,Ath Bilbao,2,0,H,2.92,3.02,2.82,2.67,2.91,3.3,1.77,2.2,0,0,3.13,1.4,2.5
SP1,12/09/2020,20:00,Cadiz,Osasuna,0,2,A,2.87,3.04,2.86,3.41,2.9,2.61,1.79,2.17,0,0.25,3.3,1.37,2.5
SP1,13/09/2020,13:00,Alaves,Betis,0,1,A,2.88,3.32,2.64,3.57,3.13,2.37,1.93,2,0,0.25,2.43,1.62,2.5
SP1,13/09/2020,15:00,Valladolid,Sociedad,1,1,D,2.98,3.3,2.57,3.19,2.92,2.74,2.13,1.82,0,0,3.02,1.42,2.5
SP1,13/09/2020,17:30,Villarreal,Huesca,1,1,D,1.57,4.21,6.36,1.56,4.33,6.58,1.94,1.98,-1,-1,1.88,2.03,2.5
SP1,13/09/2020,20:00,Valencia,Levante,4,2,H,2.14,3.48,3.66,2.46,3.33,3.18,2.1,1.84,-0.25,-0.25,2.1,1.81,2.5
SP1,19/09/2020,15:00,Villarreal,Eibar,2,1,H,1.61,4.12,5.93,1.69,3.83,5.81,1.92,2.01,-1,-0.75,2.3,1.68,2.5
SP1,19/09/2020,17:30,Getafe,Osasuna,1,0,H,2.02,3.24,4.4,2.02,3.19,4.64,2.02,1.9,-0.5,-0.5,3.12,1.4,2.5
SP1,19/09/2020,20:00,Celta,Valencia,2,1,H,2.25,3.58,3.22,2.2,3.35,3.71,1.88,2.05,-0.25,-0.25,2.28,1.69,2.5
SP1,20/09/2020,15:00,Huesca,Cadiz,0,2,A,2.21,2.99,4.07,2,3.05,5.16,2,1.93,-0.25,-0.5,3.09,1.41,2.5
SP1,20/09/2020,17:30,Betis,Valladolid,2,0,H,1.87,3.63,4.52,1.89,3.48,4.8,1.89,2.04,-0.5,-0.5,2.42,1.62,2.5
SP1,20/09/2020,17:30,Granada,Alaves,2,1,H,2.1,3.08,4.3,2.27,2.91,4.18,1.89,2.04,-0.5,-0.25,3.17,1.39,2.5
SP1,20/09/2020,20:00,Sociedad,Real Madrid,0,0,D,4.83,3.85,1.76,4.58,3.85,1.83,1.83,2.1,0.75,0.75,1.95,1.95,2.5
