Div,DateTime,HomeTeam,AwayTeam
SP1,15.04.2022 19:00,Real Sociedad,Real Betis
SP1,16.04.2022 12:00,Elche,Mallorca
SP1,16.04.2022 14:15,Deportivo Alaves,Rayo Vallecano
SP1,16.04.2022 16:30,Valencia,Osasuna
SP1,16.04.2022 19:00,Getafe,Villarreal
SP1,17.04.2022 12:00,Granada,Levante
SP1,17.04.2022 14:15,Atletico Madrid,Espanyol
SP1,17.04.2022 16:30,Athletic Club,Celta de Vigo
SP1,17.04.2022 19:00,Sevilla,Real Madrid
SP1,18.04.2022 19:00,FC Barcelona,Cadiz
SP1,19.04.2022 17:00,Mallorca,Deportivo Alaves
SP1,19.04.2022 19:00,Real Betis,Elche
SP1,19.04.2022 19:30,Villarreal,Valencia
SP1,20.04.2022 17:00,Atletico Madrid,Granada
SP1,20.04.2022 18:00,Celta de Vigo,Getafe
SP1,20.04.2022 19:30,Osasuna,Real Madrid
SP1,21.04.2022 17:00,Espanyol,Rayo Vallecano
SP1,21.04.2022 17:00,Levante,Sevilla
SP1,21.04.2022 18:00,Cadiz,Athletic Club
SP1,21.04.2022 19:30,Real Sociedad,FC Barcelona
SP1,24.04.2022 19:00,FC Barcelona,Rayo Vallecano
SP1,29.04.2022 19:00,Sevilla,Cadiz
SP1,30.04.2022 12:00,Deportivo Alaves,Villarreal
SP1,30.04.2022 14:15,Real Madrid,Espanyol
SP1,30.04.2022 16:30,Valencia,Levante
SP1,30.04.2022 19:00,Athletic Club,Atletico Madrid
SP1,01.05.2022 12:00,Elche,Osasuna
SP1,01.05.2022 14:15,Granada,Celta de Vigo
SP1,01.05.2022 16:30,Rayo Vallecano,Real Sociedad
SP1,01.05.2022 19:00,FC Barcelona,Mallorca
SP1,02.05.2022 19:00,Getafe,Real Betis
SP1,08.05.2022 00:00,Mallorca,Granada
SP1,08.05.2022 00:00,Athletic Club,Valencia
SP1,08.05.2022 00:00,Atletico Madrid,Real Madrid
SP1,08.05.2022 00:00,Real Betis,FC Barcelona
SP1,08.05.2022 00:00,Celta de Vigo,Deportivo Alaves
SP1,08.05.2022 00:00,Getafe,Rayo Vallecano
SP1,08.05.2022 00:00,Cadiz,Elche
SP1,08.05.2022 00:00,Espanyol,Osasuna
SP1,08.05.2022 00:00,Levante,Real Sociedad
SP1,08.05.2022 00:00,Villarreal,Sevilla
SP1,11.05.2022 00:00,Real Madrid,Levante
SP1,11.05.2022 00:00,Elche,Atletico Madrid
SP1,11.05.2022 00:00,Rayo Vallecano,Villarreal
SP1,11.05.2022 00:00,Valencia,Real Betis
SP1,11.05.2022 00:00,Sevilla,Mallorca
SP1,11.05.2022 00:00,Real Sociedad,Cadiz
SP1,11.05.2022 00:00,Osasuna,Getafe
SP1,11.05.2022 00:00,Granada,Athletic Club
SP1,11.05.2022 00:00,FC Barcelona,Celta de Vigo
SP1,11.05.2022 00:00,Deportivo Alaves,Espanyol
SP1,15.05.2022 00:00,Atletico Madrid,Sevilla
SP1,15.05.2022 00:00,Villarreal,Real Sociedad
SP1,15.05.2022 00:00,Levante,Deportivo Alaves
SP1,15.05.2022 00:00,Espanyol,Valencia
SP1,15.05.2022 00:00,Cadiz,Real Madrid
SP1,15.05.2022 00:00,Getafe,FC Barcelona
SP1,15.05.2022 00:00,Mallorca,Rayo Vallecano
SP1,15.05.2022 00:00,Celta de Vigo,Elche
SP1,15.05.2022 00:00,Real Betis,Granada
SP1,15.05.2022 00:00,Athletic Club,Osasuna
SP1,22.05.2022 00:00,Elche,Getafe
SP1,22.05.2022 00:00,Deportivo Alaves,Cadiz
SP1,22.05.2022 00:00,FC Barcelona,Villarreal
SP1,22.05.2022 00:00,Granada,Espanyol
SP1,22.05.2022 00:00,Osasuna,Mallorca
SP1,22.05.2022 00:00,Real Madrid,Real Betis
SP1,22.05.2022 00:00,Real Sociedad,Atletico Madrid
SP1,22.05.2022 00:00,Sevilla,Athletic Club
SP1,22.05.2022 00:00,Valencia,Celta de Vigo
SP1,22.05.2022 00:00,Rayo Vallecano,Levante
