Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,PSCH,PSCD,PSCA,PCAHH,PCAHA,AHh,AHCh,Over,Under,Total
T1,13/08/2021,18:30,Besiktas,Rizespor,3,0,H,1.56,4.45,6.08,1.49,4.81,6.62,1.76,2.17,-1,-1,1.56,2.55,2.5
T1,14/08/2021,17:15,Karagumruk,Gaziantep,3,2,H,2.11,3.37,3.79,1.93,3.64,4.26,1.93,1.98,-0.25,-0.5,1.99,1.9,2.5
T1,14/08/2021,19:45,Altay,Kayserispor,3,0,H,2.72,3.4,2.73,1.76,3.94,4.79,2.01,1.89,0,-0.75,1.98,1.91,2.5
T1,14/08/2021,19:45,Hatayspor,Kasimpasa,1,1,D,2.12,3.55,3.57,2.67,3.58,2.67,1.95,1.95,-0.25,0,1.67,2.3,2.5
T1,15/08/2021,17:15,Buyuksehyr,Alanyaspor,0,1,A,2.58,3.38,2.87,2.2,3.28,3.73,1.87,2.04,0,-0.25,2.21,1.72,2.5
T1,15/08/2021,19:45,Ad. Demirspor,Fenerbahce,0,1,A,4.54,3.98,1.77,2.51,3.63,2.83,1.84,2.08,0.75,0,1.77,2.13,2.5
T1,15/08/2021,19:45,Antalyaspor,Goztep,1,1,D,2.44,3.37,3.06,2.21,3.44,3.52,1.89,2.01,-0.25,-0.25,2.15,1.76,2.5
T1,16/08/2021,17:15,Sivasspor,Konyaspor,0,1,A,2.04,3.36,4.05,2.11,3.29,3.98,1.79,2.12,-0.5,-0.25,2.51,1.57,2.5
T1,16/08/2021,17:15,Yeni Malatyaspor,Trabzonspor,1,5,A,4.08,3.56,1.96,3.99,3.6,2,1.91,2,0.5,0.5,1.98,1.91,2.5
T1,16/08/2021,19:45,Giresunspor,Galatasaray,0,2,A,5.55,4.16,1.62,4.58,3.84,1.81,1.85,2.07,1,0.75,1.94,1.94,2.5
T1,20/08/2021,18:30,Kayserispor,Ad. Demirspor,1,1,D,3.28,3.39,2.34,3.29,3.51,2.28,1.93,1.96,0.25,0.25,1.9,1.98,2.5
T1,21/08/2021,17:15,Kasimpasa,Giresunspor,2,0,H,2.11,3.38,3.78,2.34,3.36,3.3,2,1.9,-0.5,-0.25,2.02,1.87,2.5
T1,21/08/2021,17:15,Rizespor,Karagumruk,0,0,D,2.69,3.31,2.79,2.99,3.27,2.58,2.11,1.81,0,0,2.08,1.83,2.5
T1,21/08/2021,19:45,Alanyaspor,Altay,1,4,A,2.2,3.17,3.78,2.16,3.47,3.6,1.86,2.05,-0.25,-0.25,1.94,1.94,2.5
T1,21/08/2021,19:45,Gaziantep,Besiktas,0,0,D,4.23,3.73,1.88,4.96,4.17,1.7,2.02,1.89,0.75,0.75,1.72,2.21,2.5
T1,22/08/2021,17:15,Konyaspor,Buyuksehyr,2,1,H,2.74,2.91,3.08,2.65,3.08,3.07,2.22,1.72,0,-0.25,2.41,1.62,2.5
T1,22/08/2021,19:45,Fenerbahce,Antalyaspor,2,0,H,1.55,4.35,6.15,1.71,3.99,5.08,1.93,1.98,-1,-0.75,1.79,2.11,2.5
T1,22/08/2021,19:45,Goztep,Yeni Malatyaspor,0,1,A,2.19,3.25,3.71,1.79,3.78,4.82,1.79,2.13,-0.25,-0.5,1.88,2.01,2.5
T1,23/08/2021,17:15,Trabzonspor,Sivasspor,2,1,H,1.87,3.71,4.35,1.61,4.1,5.98,2.13,1.81,-0.5,-1,1.91,1.98,2.5
T1,23/08/2021,19:45,Galatasaray,Hatayspor,2,1,H,1.48,4.77,6.47,1.46,4.82,7.2,2.03,1.88,-1.25,-1.25,1.6,2.44,2.5
T1,27/08/2021,18:30,Antalyaspor,Rizespor,3,2,H,1.98,3.64,4.03,2.02,3.39,4.19,2.02,1.88,-0.5,-0.5,2.33,1.66,2.5
T1,27/08/2021,19:45,Ad. Demirspor,Konyaspor,1,1,D,2.15,3.44,3.66,2.18,3.38,3.65,1.87,2.04,-0.25,-0.25,2.09,1.8,2.5
